INDICATOR_CODE,REGISTER_FLAG,ZERO_REGISTER_FLAG,NO_PREVALENCE_FLAG,GROUP_CODE,GROUP_DESCRIPTION,PUB_ORDER,HIGHER_GROUP_CODE,HIGHER_GROUP_DESCRIPTION,SUB_DOMAIN_CODE,SUB_DOMAIN_DESCRIPTION,DOMAIN_CODE,DOMAIN_DESCRIPTION,ALT_PAT_LIST,ADD_PAT_LIST,INDICATOR_POINT_VALUE,AUTOMATIC_MANUAL_ENTRY,INDICATOR_GROUP_CHANGE_NOTE,PCAS,PCA_COUNT_1
AF001,1,1,,AF,Atrial fibrillation,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,,5,A,3,1,
AF006,,,,AF,Atrial fibrillation,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,,12,A,3,1,
AF007,,,,AF,Atrial fibrillation,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,,12,A,3,1,
AST005,1,1,,AST,Asthma,2,RESP,Respiratory,CL,Clinical,CL,Clinical,06OV,,4,A,,1,
AST006,,,,AST,Asthma,2,RESP,Respiratory,CL,Clinical,CL,Clinical,06OV,,15,A,,1,
AST007,,,,AST,Asthma,2,RESP,Respiratory,CL,Clinical,CL,Clinical,06OV,,20,A,,1,
AST008,,,,AST,Asthma,2,RESP,Respiratory,CL,Clinical,CL,Clinical,06OV,06_19,6,A,,1,
BP002,,,1,BP,Blood pressure,1,CV,Cardiovascular,PH,Public Health,PH,Public Health,45OV,,15,A,,1,
CAN001,1,1,,CAN,Cancer,4,HD,High dependancy and other long term conditions,CL,Clinical,CL,Clinical,,,5,A,4,1,
CAN004,,,,CAN,Cancer,4,HD,High dependancy and other long term conditions,CL,Clinical,CL,Clinical,,,6,A,4,1,
CAN005,,,,CAN,Cancer,4,HD,High dependancy and other long term conditions,CL,Clinical,CL,Clinical,,,2,A,4,1,
CHD001,1,1,,CHD,Secondary prevention of coronary heart disease,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,,4,A,3,1,
CHD005,,,,CHD,Secondary prevention of coronary heart disease,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,,7,A,3,1,
CHD008,,,,CHD,Secondary prevention of coronary heart disease,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,79UN,12,A,3,1,
CHD009,,,,CHD,Secondary prevention of coronary heart disease,1,CV,Cardiovascular,CL,Clinical,CL,Clinical,,80OV,5,A,3,1,
CKD005,1,1,,CKD,Chronic kidney disease,4,HD,High dependancy and other long term conditions,CL,Clinical,CL,Clinical,18OV,,6,A,,,
COPD008,,,,COPD,Chronic obstructive pulmonary disease,2,RESP,Respiratory,CL,Clinical,CL,Clinical,,,2,A,,1,
COPD009,1,1,,COPD,Chronic obstructive pulmonary disease,2,RESP,Respiratory,CL,Clinical,CL,Clinical,,,8,A,,1,
COPD010,,,,COPD,Chronic obstructive pulmonary disease,2,RESP,Respiratory,CL,Clinical,CL,Clinical,,,9,A,,1,
CS005,,,1,CS,Cervical screening,8,GYN,"Fertility, obstetrics and gynaecology",PHAS,Public Health Additional Services,PH,Public Health,25_64_F,25_49_F,7,A,,1,
CS006,,,1,CS,Cervical screening,8,GYN,"Fertility, obstetrics and gynaecology",PHAS,Public Health Additional Services,PH,Public Health,25_64_F,50_64_F,4,A,,1,
DEM001,1,1,,DEM,Dementia,5,NEU,Mental health and neurology,CL,Clinical,CL,Clinical,,,5,A,,1,
DEM004,,,,DEM,Dementia,5,NEU,Mental health and neurology,CL,Clinical,CL,Clinical,,,39,A,,1,
DEP003,1,1,,DEP,Depression,5,NEU,Mental health and neurology,CL,Clinical,CL,Clinical,18OV,,10,A,,1,
DM006,,,,DM,Diabetes mellitus,4,HD,High dependancy and other long term conditions,CL,Clinical,CL,Clinical,17OV,,3,A,4,1,
DM012,,,,DM,Diabetes mellitus,4,HD,High dependancy and other long term conditions,CL,Clinical,CL,Clinical,17OV,,4,A,4,1,
