PRACTICE_CODE,INDICATOR_CODE,MEASURE,VALUE
A10001,AF001,REGISTER,
A10001,AF001,ACHIEVED_POINTS,
A10001,AF006,NUMERATOR,
A10001,AF006,DENOMINATOR,
A10001,AF006,PCAS,
A10001,AF006,ACHIEVED_POINTS,
A10001,AF007,NUMERATOR,
A10001,AF007,DENOMINATOR,
A10001,AF007,PCAS,
A10001,AF007,ACHIEVED_POINTS,
A10001,AST005,REGISTER,
A10001,AST005,ACHIEVED_POINTS,
A10001,AST006,NUMERATOR,
A10001,AST006,DENOMINATOR,
A10001,AST006,PCAS,
A10001,AST006,ACHIEVED_POINTS,
A10001,AST007,NUMERATOR,
A10001,AST007,DENOMINATOR,
A10001,AST007,PCAS,
A10001,AST007,ACHIEVED_POINTS,
A10001,AST008,NUMERATOR,
A10001,AST008,DENOMINATOR,
A10001,AST008,PCAS,
A10001,AST008,ACHIEVED_POINTS,
A10001,BP002,NUMERATOR,
A10001,BP002,DENOMINATOR,
A10001,BP002,PCAS,
A10001,BP002,ACHIEVED_POINTS,
A10001,CAN001,REGISTER,
A10001,CAN001,ACHIEVED_POINTS,
A10001,CAN004,NUMERATOR,
A10001,CAN004,DENOMINATOR,
A10001,CAN004,PCAS,
A10001,CAN004,ACHIEVED_POINTS,
A10001,CAN005,NUMERATOR,
A10001,CAN005,DENOMINATOR,
A10001,CAN005,PCAS,
A10001,CAN005,ACHIEVED_POINTS,
A10001,CHD001,REGISTER,
A10001,CHD001,ACHIEVED_POINTS,
A10001,CHD005,NUMERATOR,
A10001,CHD005,DENOMINATOR,
A10001,CHD005,PCAS,
A10001,CHD005,ACHIEVED_POINTS,
A10001,CHD008,NUMERATOR,
A10001,CHD008,DENOMINATOR,
A10001,CHD008,PCAS,
A10001,CHD008,ACHIEVED_POINTS,
A10001,CHD009,NUMERATOR,
A10001,CHD009,DENOMINATOR,
A10001,CHD009,PCAS,
A10001,CHD009,ACHIEVED_POINTS,
A10001,CKD005,REGISTER,
A10001,CKD005,ACHIEVED_POINTS,
A10001,COPD008,NUMERATOR,
A10001,COPD008,DENOMINATOR,
A10001,COPD008,PCAS,
A10001,COPD008,ACHIEVED_POINTS,
A10001,COPD009,REGISTER,
A10001,COPD009,ACHIEVED_POINTS,
A10001,COPD010,NUMERATOR,
A10001,COPD010,DENOMINATOR,
A10001,COPD010,PCAS,
A10001,COPD010,ACHIEVED_POINTS,
A10001,CS005,NUMERATOR,
A10001,CS005,DENOMINATOR,
A10001,CS005,PCAS,
A10001,CS005,ACHIEVED_POINTS,
A10001,CS006,NUMERATOR,
A10001,CS006,DENOMINATOR,
A10001,CS006,PCAS,
A10001,CS006,ACHIEVED_POINTS,
A10001,DEM001,REGISTER,
A10001,DEM001,ACHIEVED_POINTS,
A10001,DEM004,NUMERATOR,
A10001,DEM004,DENOMINATOR,
A10001,DEM004,PCAS,
A10001,DEM004,ACHIEVED_POINTS,
A10001,DEP003,REGISTER,
A10001,DEP003,NUMERATOR,
A10001,DEP003,DENOMINATOR,
A10001,DEP003,PCAS,
A10001,DEP003,ACHIEVED_POINTS,
A10001,DM006,NUMERATOR,
A10001,DM006,DENOMINATOR,
A10001,DM006,PCAS,
A10001,DM006,ACHIEVED_POINTS,
A10001,DM012,NUMERATOR,
A10001,DM012,DENOMINATOR,
A10001,DM012,PCAS,
A10001,DM012,ACHIEVED_POINTS,
A10001,DM014,NUMERATOR,
A10001,DM014,DENOMINATOR,
A10001,DM014,PCAS,
A10001,DM014,ACHIEVED_POINTS,
A10001,DM017,REGISTER,
A10001,DM017,ACHIEVED_POINTS,
A10001,DM019,NUMERATOR,
A10001,DM019,DENOMINATOR,
A10001,DM019,PCAS,
A10001,DM019,ACHIEVED_POINTS,
A10001,DM020,NUMERATOR,
A10001,DM020,DENOMINATOR,
A10001,DM020,PCAS,
